akṣ	akṣṇuhi ākṣiṣuḥ akṣat ākṣāṇa 
yāc	yācita yācamāna ayācata yācat yācyamāna yāce yayāce yācate yāceta yācitum yācante yācasva ayācanta yācāmi yācati yācet yācya ayācam yācase yācitvā yācanti yayācire yācyatām yāca ayācat yācāmahe yācadhvam yācitavya yācasi yācāmaḥ ayācata ayācan yāceran yācatām yayācuḥ yāciṣma ayāciṣṭa yāceyuḥ yācatu yācata yāciṣyāmaḥ ayāciṣam yācethāḥ yācadhve yācyate ayāce ayācetām yāciṣye yācanta ayācithāḥ yācatāt yāciṣat yāciṣāmahe yācitavat 
yācay	yācayet yācaya yācayāmi yācayiṣyati yācayāmāsa yācayitvā yācayanti 
yājay	yājya yājayet yājayāmāsa yājayitvā yājayanti yājaya yājayitā yājayati yājayeyuḥ yājayat ayājayat ayājayan yājayiṣyati yājayeta yājayeyam yājayiṣyāmi yājayiṣye yājita yājayitum yājitum yājayāmi yājayeḥ yājayata yājayantu yājayiṣyāmaḥ yājayāṃcakre yājayasva yājayethāḥ yājayata yājayitāsmi yājayiṣyat yājanīya yājyamāna 
yātay	yātayiṣye yātayat yātayantām ayātayāma yātayati yātayanti yātayet yātayeyuḥ yātayeta yātita yātayāmi yātaya yātayiṣyāmi yātayate yātyante ayātayanta yātayāse yātayan yātayamāna 
yāpay	yāpya yāpayanti yāpayet yāpayat yāpita ayāpayam ayāpayat yāpyante yāpayitum yāpayāmi yāpayati yāpya yāpayāmaḥ yāpayeyam yāpayāma yāpayāmāsa yāpyate yāpayiṣyāmaḥ yāpayiṣyanti yāpayitvā yāpanīya 
yāmay	yāmaya yāmayanti yāmayet 
yāvay	yāvaya yāvayat yāvayatam yāvayantu yāvayasva yāvayat yāvayitum yāvyamāna 
yāsay	yāsita 
yiyās	yiyāsat yiyāsati yiyāsanti 
yu	yuyodhi yuyota yuvasva yauṣṭam yoṣat yuvate yuyotu yuvase yuyutam yuyotana yuyota yuyotam yuyothāḥ yucchataḥ yoṣati yāvīḥ yuyoti yuyuyātām yuyavat yūṣam yauḥ yauṣṭa yauṣuḥ yucchasi yucchati yavanta ayuvanta yuyavan yūyāḥ yucchantu yuvanta yuyota yoṣataḥ yuyoma ayuvata yuta yotoḥ yotave yotavai yuvati yuve yuvethe yuvāmahe yaumi yavan yuvāse yuva yutām yuvamāna 
yuj	yukta yojya yujyate yuñjyāt yuñjīta yujyante yojanīya yuktvā yunakti yuñjat yujyatām yuñjate yujāna yunajmi yuyoja yuṅkte yujyadhvam yuyuje yunaktu yujyamāna yuñjanti yoktum yuñjāna yukṣvā yoktavya yujyeta yokṣyate yokṣyati yuñjāthām yokṣyase ayūyujat ayukta ayugdhvam yuyujre yojā yuyujāna yuṅgdhvam yujyantām ayoji yujyat yunakṣi yuñjāthe ayuṅkta yunakta ayukta ayukṣata yujyase yujyete yuñje yuṅkṣva yuyujuḥ yujyasva yujyeran yokṣye yujyati yujyanti yuñjata ayūyujan yujyantu yuṅdhi yuñjantu ayuñjata yuje yunajat yunajan ayujran yujanta yuyojate yuktavat ayunak yokṣyasi yokṣyanti yuñjīran ayuṅkṣmahi ayuñjanta yuyujma yuyujāte yujyeyam yujyet yujyeyuḥ yokṣyāmahe yuñjīyāt yujyata ayujyata ayujat ayuñjam yuñjet yūyujaḥ yunajāma yuñjante yukṣva yujmahe yujate ayuji ayukthāḥ ayujmahi yoji yojam yujata yojate yunajate yujyāva yujyātām yukṣātām yujya yokṣyamāṇa yuktvāya yuñjamāna yuje 
yudh	yudhyamāna yoddhum yudhyat yudhyasva yuyudhe yotsye yoddhavya yuddha ayudhyata yudhyate yudhyeta yotsyamāna ayudhyanta yuyudhāte yotsyāmi yuyudhuḥ yudhyante yudhyadhvam yotsyate yotsyanti yuyudhire yuddhvā ayudhyetām yotsyati yudhyatām yudhyet yudhyanti yotsyāmahe yudhya yudhyeyam yotsyante yudhaye yudhyāmahe yuyodha yudhyāmaḥ yotsīḥ yodhya yudhyante ayudhyatām yudhyati yoddhum yudhyase yudhyeran yudhyetām yotsyase yudhyeyuḥ yudhyata yotsyāmaḥ ayudhyat ayudhyan yudhyāmi yoddhā yodhīḥ yudhyetām yudhyema yotsyasi ayudhyam yotsyāma yudhe yudhyete yudhyethāḥ yudhyai yudhyantām yuyudhe yudhyate yudhyatu ayudhyaḥ yudhyāma yodhāsmi ayotsīḥ ayodhan yodhi yodhat yotsi ayodhīt yodhiṣṭam yodhiṣat yutsmahi yudhvī yodhāna 
yuyukṣ	yuyukṣat 
yuyuts	yuyutsat yuyutsase yuyutsamāna yuyutsati yuyutsanti yuyutsate yuyutsante ayuyutsan 
yojay	yojayet yojita yojayitvā yojayāmāsa ayojayat yojayati yojaya yojayat yojayāmi yojayanti yojayasva yojayitum ayojayam ayojayan yojayiṣyāmi yojayiṣyati yojayāmāsuḥ yojayata yojyatām yojayiṣyat yojayasi yojayeyam yojayeḥ yojayantu yojayiṣyasi yojayethāḥ yojayeta yojayadhvam yojyate yojya yojyamāna yojayāma yojaye yojayate ayojayata yojayiṣye yojyante yojayaḥ yojayat ayojayiṣyat yojayitavya yojanīya yojitavat 
yodhay	ayodhayat yodhayāmāsa ayodhayan yodhayat yodhayanti yodhayitum yodhayet yodhayiṣyāmi yodhayitvā yodhaya yodhayāmāsuḥ yodhita yodhayeyam ayodhayam ayodhayata ayodhayanta yodhayati yodhayetām yodhayāṃcakrire yodhayāmāsatuḥ yodhayiṣyāmaḥ yodhayeta yodhayāmi yodhayeyuḥ ayodhayaḥ yodhayāṃcakruḥ yodhayiṣyanti yodhyate yodhayasva yodhayadhvam yodhayiṣye yodhayāḥ yodhyamāna yodhayāna 
yopay	ayopayan yopayat yopayāmasi 
rakṣ	rakṣita rakṣat rakṣa rakṣati rakṣet rakṣya rakṣanti rakṣitum rakṣyamāṇa rakṣatu rakṣyate rakṣitavya rakṣamāṇa rarakṣa rakṣasva rakṣaṇīya rakṣantu rakṣata arakṣan rakṣāmi rakṣā rakṣasi rakṣyatām rakṣatām rakṣate rakṣatam arakṣat rakṣante rarakṣuḥ rakṣitā rakṣeta rakṣeyam rakṣyase rakṣyante rakṣiṣyanti rakṣadhvam rakṣitvā rakṣataḥ rakṣeyuḥ rakṣitavat rakṣāmaḥ rakṣase rakṣethe rakṣiṣyāmi rakṣiṣye rakṣatāt arakṣata rakṣathaḥ rakṣeḥ rakṣeta arakṣatām rakṣāmahe rarakṣatuḥ rakṣiṣyati rakṣatām rakṣiṣat rakṣatha rakṣetām rakṣāma rakṣye rakṣe rakṣete arakṣīt rakṣiṣyataḥ arakṣati rakṣethāḥ rakṣeran rakṣitāsmi rakṣitāraḥ rakṣyeta arakṣanta arakṣyata rakṣyāmi rakṣāti rakṣaḥ rakṣīḥ rakṣiṣaḥ rakṣya rakṣiṣyamāṇa rārakṣāṇa 
rakṣay	rakṣayet rakṣya rakṣitavya rakṣayitvā rakṣita arakṣayat rakṣaya rakṣayata rakṣayitum 
raṭ	raṭati raṭat raṭitum raṭanti 
rac	racanīya 
racay	racita racayati racaya racayat racayitvā racayāmi racayet racayatu racayasi racayanti aracayan racayiṣyāmi racaye racyamāna racayitum 
rañj	rakta rajyate rajyati rajyeta rañjati rajyante rajyethāḥ rajyet rajyataḥ rajye rajyete rañjate rajet rajyat rajyamāna 
rañjay	rañjita rañjayet rañjayati rañjayat rañjanīya rañjayanti rañjayate arañjayat rañjayatu rañjayāmāsa rañjayitvā rañjayeyuḥ rañjaya rañjayasva rañjayitum rañjayasi rañjayiṣyati rañjayāmāsatuḥ rañjayāmāsuḥ rañjya 
rad	radita rada aradat aradaḥ radat radati radanti rarāda radantu aradatam radat ratsi radantām 
ran	rārandhi raṇa raṇan rāraṇa rāraṇat raṇanti raṇyati rāraṇaḥ rarāṇatā rāran rāranta arāraṇuḥ raṇiṣṭana rārantu raṇyasi raṇyathaḥ raṇyanti arāṇiṣuḥ araṇat raṇyat 
rap	arapat rapat rapāmi rapati rapema 
rabh	rabhasva rabhe rabhāmahe rabhadhvam rabhemahi rabhante rabhatām rebhe rebhire arabdha rārabhe rarabhma rabhathāḥ 
ram	rata ramate ramamāṇa reme ramante ramasva remire rame rantum raṃsyate ramaṇīya ramatām ramat raṃsyase ramase ramyatām rameta ramet ramanti arīramat ramya ramadhvam rameyam rarāma remāte rīramat ramantām araṃsta rīraman ranta ratvā raṃsye raṃsyāmahe aramat aramṇāt ramemahi aramata ramati remuḥ rama ratavat ramitvā ramete ramāmahe rameya ramethāḥ rameran rametām aramāvahi aramanta raṃsyante ramāmi ramasi arīramam raṃsyasi aramyata araṃsi araṃsata raṃsyāma ramiṣyāmaḥ aramṇāḥ rīramāma ramata ramyate rantavya ramanīya rantoḥ 
ramay	ramayat ramayanti ramayati ramayet ramaya ramayāmāsa ramita ramayāmi aramayaḥ ramayasva ramayiṣyanti ramayeyuḥ ramayatu ramayāṃbabhūva ramayāṃbabhūvuḥ ramaye ramayante ramayiṣye ramayāmakaḥ ramayitum 
ras	rarāsa rasat rasita rasyate rasati raset rasatu arasat resatuḥ resuḥ rasyati rasate rasyamāna rasitavya 
rah	rahita rahanti 
rahay	rahayati rahayanti 
rā	rāta rāsva rarāṇa rāsi rarāṇa rarivas rirīhi rāsvā rarima rāsate rare rāsantām arāsata rāti arādhvam rāsat rāsīya rāsan rarāsva rarate rāyasi rānti rarāṇa rāsatām rāsāthām rariṣe rarāthe rarāthām rarīdhvam rarīthāḥ rātave rāya 
rāj	rarāja rājate reje rājat rājati rejuḥ rājasi rājita rejatuḥ rājathaḥ rājase rājamāna rājante rājanti rājataḥ rājatha rāja arājata rājāmi rājeta rejire rājatu arājan rejāte rājyeta rāṣṭi rāṭ arājiṣuḥ rājase 
rājay	rājayātai 
rādh	rādhnoti rāddha rādhnuvanti arādhnuvan rādhyatām rādhyatām arādhi rādhya arādhnot arātsīḥ rarādha arātsma arātsuḥ rādhat rādhāma rādhiṣi rādhnuyāt rātsyasi rātsyāmaḥ arātsīt rādhati rādhyāsam iradhyai rādhyamāna 
rādhay	rādhayāni rādhayāmi rādhayanti rādhayiṣyāmi 
rāmay	rāmayanti rāmaya rāmayaḥ rāmayat 
rāvay	rāvayāmāsa rāvita 
ri	riṇāti rīyate ariṇāt ariṇāḥ riṇat ariṇīta riṇīte riṇīthaḥ riṇanti riṇāmi rīyante ariṇītam riṇāḥ riṇan riṇate 
ric	rikta ririce āraik riricāna ricyate aricyata riṇakti recya rireca arirecīt riṇak ririkvas riricathuḥ ricyase ririkṣe riricāthe riricyām riricyāt riricre rikthāḥ reci riṇacāva riñcata 
riph	riphat 
ribh	rebhat rebhati rebhanti ribhyate rebhat rirebha rebhamāṇa 
riṣ	riṣyati riṣāma riṣyate rīriṣaḥ riṣyat riṣyataḥ rīṣat riṣyet riṣat riṣan riṣyasi riṣyema riṣyāḥ riṣyāti riṣam riṣāthana riṣe riṣyatha riṣyanti riṣyatu riṣyeta riṣam ariṣāma riṣātha rīriṣat rīriṣata ririṣeḥ reṣat ririṣīṣṭa rīriṣīṣṭa riṣāma riṣṭa riṣat riṣat 
riś	riśantām riśat 
rih	rihanti reḍhi rihat rihāṇa rīḍhaḥ rihate ririhvas rīḍha 
ru	ruvat rauti rurāva ruvanti ruta ruta arāvīt ruvat aravanta arāviṣuḥ ruva raumi rauṣi araut ruruvuḥ ruvati ravat rāviṣṭa ravamāṇa rāviṣam 
ruc	rocate rocamāna rocatām rucita roceta arocata rocase rocante rucāna ruruce rurucuḥ arocathāḥ aroci arūrucat rocata rocet rocatu ruce arocanta rurucire rocāsam rociṣyati arociṣam rociṣṭa ruroca rurucyāḥ roci rurucanta rocat rocitum rurukvas rurucāna 
ruj	rugṇa rujat ruja rujanti rujati ruroja rujat arujaḥ rujyate arujat rurojitha rujāmi rujema arujam rurujuḥ rujaḥ rujan arūrujatam 
rud	rudat ruroda roditi ruruduḥ rodiṣi rudanti rudita rudyate rodīḥ rodimi roditum rodamāna ruditvā rudaḥ arudat rudat roditavya arodīt rudati rodāt rudyamāna ruda rudata rudyām roda rudam rodasi rudamāna rodat ruditum arodīḥ arudan rodiṣyanti arudam ruroda rurudatuḥ roditu rurude rudyāt rudate rodate rodīt rotsyanti rodatām rudihi rudan 
rudh	ruddhvā ruddha ruṇaddhi rurodha rundhat rundhyāt runddhe rurudhuḥ roddhum rundhāna rudhyate arautsīt rundhīta rundhi rurudhre rodhya rudhyamāna ruṇadhmi ruṇatsi rundhanti rotsyati rudhyase rundhyām arundhan arundhat rudhaḥ rurudhe arudhyetām rundhet arodham rudhat ruṇadhāmahai rurodhitha rundhām araut ruddhavat roddhavya rudhyat rudhat roddhoḥ rodhati rodhat 
rundhay	rundhayet rundhayati rundhita 
ruṣ	ruṣṭa ruṣita roṣati ruṣyati roṣāti ruṣat ruṣyanti 
ruh	rūḍha rohati rohanti rohet roha rohatu ruhema aruhat ruhat rohantu ruruhuḥ rohat arohat rohate arukṣat rohasi rurohitha aruhan rohata ruroha rohathaḥ aroham rokṣyanti ruruhatuḥ ruhyate ruhema rohase ruruhāte ruham ruha ruhatam ruhāva rohāt rūḍhvā rohiṣyai ruhāṇa 
rūkṣay	rūkṣita rūkṣaṇīya rūkṣayet 
rūpay	rūpita rūpayet rūpayanti rūpyate arūpayat rūpayat 
recay	recayet recita recayati recayitvā recayanti recayiṣyati recyate 
rocay	rocaye arocayat rocayate rocayet arocayan rocayāmāsa rocaya rocita rocayati rocayanti rocayasva arocayam rocayase arocayaḥ rocayiṣyati rocayāmi rocayante rocayeta arocayanta rocayat rocayāmahe rocayatu rocayantu rocayiṣyāmi rocayāmāsuḥ rocayitā rocayiṣyāva rocayat rocetha rocayat rocayitum 
rodhay	rodhayet rodhayati rodhita rodhayitvā 
ropay	ropayet ropita ropaṇīya ropya ropayati aropayan ropyate ropayitum ropya 
roṣay	roṣita roṣayiṣyanti roṣayat roṣayati roṣayanti roṣaye roṣayat 
rohay	rohaya rohayaḥ arohayan rohayat rohayat rohita 
lakṣ	lakṣyate lakṣita lakṣyamāṇa lakṣyante lakṣyase 
lakṣay	lakṣyate lakṣita lakṣayet lakṣayati lakṣaye lakṣya lakṣayitvā lakṣyante lakṣyase alakṣayat lakṣayāmāsa lakṣayāmi alakṣayam lakṣya lakṣayate lakṣayāmahe lakṣyeta lakṣayitum lakṣayāmaḥ alakṣayan alakṣyanta lakṣayat lakṣaṇīya lakṣayanti lakṣayeyam lakṣayeyuḥ lakṣaya lakṣayiṣyati lakṣayante lakṣayethāḥ lakṣayeran lakṣayasva alakṣayata lakṣayiṣye 
lag	lagna lagati laget laganti lagiṣyati lagitvā 
laṅgh	laṅghya laṅghyate laṅghet laṅghanīya laṅgheta laṅghyatām 
laṅghay	laṅghayet laṅghita laṅghayitvā laṅghayat laṅghanīya laṅghayitum laṅghayanti laṅghayeta laṅghayati laṅghayeyuḥ alaṅghayam laṅghayiṣyati laṅghaye laṅghayasva 
lajj	lajjita lajjamāna lajjase lajjate lajjāmahe lajjante lajjati lajjat lajjasva lajjāmi lajjanti 
lajjay	alajjayat lajjayat lajjita lajjayitum 
lap	lalāpa alapat lapat lapita lapati lapantu alapan lapethāḥ alāpi alapiṣam lapitum 
labh	labdha labhate labdhvā labhet lebhe labhyate labhante labheta labhya labdhavat lebhire lapsyase labhatām labdhum labhe lapsyate lapsyante labhemahi alabhata labheyam labhamāna labhyante labhati alabhat labheya labhasva alabhanta labheran labhanti labdhavya lapsye labhantām labhāmi labdhā labhyeta alabhe labdhāsmi labhase lapsyāmahe labhema labhat labhāmahe lebhāte labheyuḥ lapsyāmi labdhāsi alabhan labhatu alabdha labhete labhadhvam alabhathāḥ alabhāmahi lebhe lapsyasi lapsyati lapsyāmaḥ labhyeran alabham labha labhatām labhata labhiṣyanti labhiṣyatha labhyatām labhiṣyate alabhyata alabhatatarām alapsyata lapsyamāna lapsitum lambhanīya 
lamb	lambamāna lambate lambita lambat lambante lalambe lambāmahe lambete rambate lambeta lalambire lambāmaḥ lalambuḥ lambet lambyamāna 
lambay	lambayet lambayata lambayiṣyati lambita 
lambhay	lambhita lambhayet lambhayāmāsa lambhayati lambhayat lambhayitavya 
lal	lalita lalat lalantu lalanti lala lalasva lalantām lalamāna 
las	lasat lasati lalāsa lasita 
lāḍay	lāḍayat 
lāpay	lāpaya alāpayiṣyathāḥ 
lālay	lālita lālayet lālanīya lālayat lālayitavya lālayati alālayat lālayitvā lālyamāna 
lāsay	lāsayanti lāsayat lāsita 
likh	likhita likhet likhitvā lekhya likhyate likhat likhiṣyanti likhyamāna likhyante likhati lilekha likhanti alikhat lekhanīya likhitavya likhitum likha likhiṣyati likhāmi likheyuḥ rikha likhya likhasi likhāmaḥ likhiṣyāmaḥ lilikhuḥ likhyatām likhate lekhiṣyate lekhīḥ likhyeta lekhitavya 
liṅgay	liṅgita liṅgyate 
lip	lipta liptvā lipyate limpet lipet lipyante lipyeta alipsata limpati limpanti lipyati lipya limpa limpat lipyamāna lipyase alipyata lipyāt lilipuḥ lipyeyam lipyema limpasva liptavat 
lips	lipseta lipsamāna lipset lipsethāḥ lipsat lipsate lipsitavya lipse lipsase lipsante lipsati lipsanti lipsyamāna līpsitavya 
lih	lihet lihyāt līḍha līḍhvā lihat leḍhi lihāna lilihuḥ lihati alikṣat leḍhum lekṣi lihanti lihyuḥ lihyate liha lileha lilihe lihyamāna 
lī	līna līyate līyante līyamāna līyeta layantām līyete līyāmahe layet 
luṭh	luṭhat luṭhati luloṭha luṭhasi luṭhamāna luṭhanti luṭhet luṭhita 
luḍ	luḍita 
luṇṭh	luṇṭhyamāna luṇṭhya 
luj	lujyate lujyante 
luñc	luñcita lucyete luluñce 
lup	lupta lupyate lupyeta lupyeran lumpati lupyamāna lumpasi lumpeḥ lumpante lumpeta lumpat 
lubh	lubdha lulubhe lubhyat lubhyati lubhyanti lulobha lubhyamāna 
lul	lulita lolat 
lū	lūna lunanti lunoti lunāsi lunāti alunāt luluvuḥ alāvīt lunīdhvam lūtvā 
lekhay	lekhayet lekhita lekhayitvā lekhayitavya lekhayati lekhayiṣyati lekhayiṣyanti lekhayate 
lepay	lepayet lepya lepita lepayitvā lepya lepayiṣyāmi lepayat 
lelih	lelihāna lelihat lelihyamāna lelihyamāna lelihyante lelihyase 
lehay	lehayet lehya lehyamāna lehita 
lokay	lokaya alokayat lokita 
loḍay	loḍita loḍayet loḍayat loḍayāmāsa loḍyamāna loḍyate loḍayitvā loḍya 
lopay	lopayet lopayate lopayat lopita lopayāmi lopayiṣyāmi alopayata lopayitum 
lobhay	lobhayāmāsa lobhayat lobhayitum lobhanīya lobhayitvā lobhayet lobhayase lobhayati lobhayanti lobhita lobhitavat lobhayāna 
lolay	lolita lolayet lolayitvā lolayanti lolayat lolayāmāsa 
vakṣ	vavakṣitha vavakṣa ukṣita ukṣamāṇa vavakṣe vavakṣatuḥ vavakṣuḥ vavakṣire aukṣīḥ aukṣat ukṣat 
vac	uvāca ukta ucyate uktvā ūcuḥ vaktum vakṣyāmi avocat vācya uktavat vaktavya vakṣye vakṣyamāṇa vakṣyati vakṣyāmaḥ vakṣyate ūcatuḥ ūce ucyatām ucyamāna avocam ucyante avocan vakti vakṣyante vacmi vakṣyasi vakṣyanti vocaḥ vocam avocāma vocat ūcivas ucyase vaktā vocata ūcire avocaḥ avocatām voce vacanīya vivakti uvāca avocata avāci vocema vakṣyat vivakmi ucyeta ucyete avocathāḥ vocāma vakṣyatha vocata vocan vakṣyase vocati voceḥ vocanta vāci vakṣyataḥ ūcima vaktāsmi vaktāsi avocanta voceyam voceya vakṣyāvaḥ ūciva ūca vakṣyāmahe ucyethe ūce ūciṣe vakṣi vacmaḥ avocāva ucyantām vaktāraḥ avoce ucyethāḥ avoci avakṣyam avakṣyaḥ avakṣyan vocā vocāti vocati vocet vocetam voceyuḥ vocatāt vocatu vocatam vocemahi vocāvahai uvaktha vavāca vocāḥ vivaktana vaktave 
vañc	vacyasva vacyamāna vañcasi vacyante vañcyamāna vañcati vañcyate avañcyata vacyantām vacyate vāvakre vañcita 
vañcay	vañcita vañcayitvā vañcayanti vañcayāmāsa vañcayat avañcayat vañcyate vañcayitavya vañcaya vañcayitum vañcitavya vañcayāmi vañcayet vañcayiṣyasi vañcayiṣyanti vañcaye vañcayase vañcayate vañcayante vañcayiṣye vañcyase vañcyante vañcayāna vañcyamāna vañcitavat 
vat	vatema avīvatan vatat 
vad	udita vadanti vadat vada avadat vadet vadāmi vadati vadasva vadasi avādīt vadema vadata avadan vadiṣyāmi vadiṣyati vade avadam vadāhi avādiṣam vadeyuḥ vadatu udya vadiṣyasi vadate vadīḥ vadantu vadiṣyanti vadase avādīḥ vadeyam vadeḥ vadante vadadhvam vaditum vadāmaḥ avadaḥ vadiṣyataḥ vadethāḥ vadeta avadanta vādīḥ vadāsi vadāti vadatām ūdima avadata vadiṣye avādiṣuḥ vadān vadāmasi vadat vādiṣaḥ vaditavya vadāni vadatam vadatām vadāma avadāva avadatām avadata vadiṣyāmaḥ vadete avīvadat avādi avadiṣat avadīt vaditā vadāni vadāthaḥ avadiṣyaḥ udyate udeyam vadathana vādiṣuḥ avādiran uditvā udya vadamāna vadiṣyamāṇa uditavat udyamāna 
vadh	vadhyamāna vadhya avadhīt vadhyate vadhīḥ vadhiṣyāmi vadhiṣyati vadhyante vadhyat vadhyatām avadhīḥ vadhīt vadhiṣyasi vadheyam avadhyanta vadhe vadhyeta vadhiṣyanti avadhyata avadhiṣam vadhiṣye vadhiṣyāmaḥ vadhyete vadha vadhyantām vadhiṣyāma vadhyati vadhyanti vadhīṣma vadhiṣṭa vadhīm vadhiṣuḥ vadhiṣyatha vadhyāmahe avadhaḥ avadhiṣuḥ vadhiṣyete vadhiṣyāmahe vadhate vadhyatu vadhyet vadhiṣyadhvam vadhiṣṭana vadhīḥ vadhiṣṭam vadhiṣaḥ 
van	vanate vanvat vāvāna vanavat vanema vāta vanemahi vaṃsva vanuyāma vanute vanāmahe vanatam avanvata vanvāna vanoti avanoḥ vavne vanve vanathaḥ vanoṣi vanuthaḥ vaṃsat vaṃsāma vāvantha vanvantu vaneḥ vananti vaniṣīṣṭa vavanvas avanvan vavanire vāvandhi vanase vanavase vanāḥ vanāti vanāva vanāmahai vanata vaṃsi vaṃsīmahi vanvanta vanitā vāvanaḥ vanta vanuṣva vanutām vanudhvam vanvatām vanatām vavanma vanvan vanaḥ vaṃsate vaṃsiṣīya 
vand	vanditvā vandita vandya vavande vande avandata vandamāna vandyamāna vandanīya vandate vavandire vandasva vandiṣyante vanditum vandya vavanda vandāmahe avandanta vandadhyai vandeta vavande vavandatuḥ avandiṣi vanditavya vandase vandante vandantām avandetām vavandima avandat avandatām vandāmi vandati vandanti vandyeta vandyatām vandi vandiṣīmahi vandiṣyanti vandat 
vanday	vandita vandaya vandayitvā 
vap	upta avapat vapati uptvā vapet vapāmi vapat vapate vapasi vapanti vapa vapata vapatu ūpathuḥ upyate avīvapat vaptavya vapantu upya avapan upyante ūpe vapanta vapaḥ vapta upita upyamāna vāpanīya 
